yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,inundation hours
20,0.015,0.035,1400,1.0,0,0.002,0.7,0.65,2.347132180426375,37
20,0.015,0.035,1400,1.25,0,0.002,0.7,0.65,2.3723553461649254,29
20,0.015,0.035,1400,1.5,0,0.002,0.7,0.65,2.3962678522730325,22
20,0.015,0.035,1400,1.75,0,0.002,0.7,0.65,2.413279783305106,19
20,0.015,0.035,1400,2.0,0,0.002,0.7,0.65,2.427847067729514,19
20,0.015,0.035,1400,2.25,0,0.002,0.7,0.65,2.438163805559328,16
20,0.015,0.035,1400,2.5,0,0.002,0.7,0.65,2.446157588461144,14
20,0.015,0.035,1400,2.75,0,0.002,0.7,0.65,2.452969523808322,13
20,0.015,0.035,1400,3.0,0,0.002,0.7,0.65,2.4648553037016545,13
20,0.0175,0.035,1400,0.25,0,0.002,0.7,0.65,2.1111676323134714,278
20,0.0175,0.035,1400,0.5,0,0.002,0.7,0.65,2.2759638592901896,105
20,0.0175,0.035,1400,0.75,0,0.002,0.7,0.65,2.3430728392735283,63
20,0.0175,0.035,1400,1.0,0,0.002,0.7,0.65,2.3834400354234146,43
20,0.0175,0.035,1400,1.25,0,0.002,0.7,0.65,2.407070771683557,35
20,0.0175,0.035,1400,1.5,0,0.002,0.7,0.65,2.4327374113229703,28
20,0.0175,0.035,1400,1.75,0,0.002,0.7,0.65,2.4485632639871318,22
20,0.0175,0.035,1400,2.0,0,0.002,0.7,0.65,2.4632251026025056,19
20,0.0175,0.035,1400,2.25,0,0.002,0.7,0.65,2.4773057847176614,19
20,0.0175,0.035,1400,2.5,0,0.002,0.7,0.65,2.486448319454186,16
20,0.0175,0.035,1400,2.75,0,0.002,0.7,0.65,2.493988712545985,14
20,0.0175,0.035,1400,3.0,0,0.002,0.7,0.65,2.4996313959071945,14
20,0.02,0.035,1400,0.25,0,0.002,0.7,0.65,2.1418236947591214,296
20,0.02,0.035,1400,0.5,0,0.002,0.7,0.65,2.3111161270567506,119
20,0.02,0.035,1400,0.75,0,0.002,0.7,0.65,2.3794080673777382,72
20,0.02,0.035,1400,1.0,0,0.002,0.7,0.65,2.419508852244808,48
20,0.02,0.035,1400,1.25,0,0.002,0.7,0.65,2.448673150282846,37
20,0.02,0.035,1400,1.5,0,0.002,0.7,0.65,2.4665834149057737,29
20,0.02,0.035,1400,1.75,0,0.002,0.7,0.65,2.487504342045581,24
20,0.02,0.035,1400,2.0,0,0.002,0.7,0.65,2.5000083494706518,21
20,0.02,0.035,1400,2.25,0,0.002,0.7,0.65,2.5130974869447495,20
20,0.02,0.035,1400,2.5,0,0.002,0.7,0.65,2.526056160506019,19
20,0.02,0.035,1400,2.75,0,0.002,0.7,0.65,2.5357358787329405,17
20,0.02,0.035,1400,3.0,0,0.002,0.7,0.65,2.5405287197427167,14
20,0.0225,0.035,1400,0.25,0,0.002,0.7,0.65,2.1760446468495314,314
20,0.0225,0.035,1400,0.5,0,0.002,0.7,0.65,2.3490554579192335,132
20,0.0225,0.035,1400,0.75,0,0.002,0.7,0.65,2.4159692427230413,79
20,0.0225,0.035,1400,1.0,0,0.002,0.7,0.65,2.455920498784083,53
20,0.0225,0.035,1400,1.25,0,0.002,0.7,0.65,2.4858891598682895,41
20,0.0225,0.035,1400,1.5,0,0.002,0.7,0.65,2.5051402091046477,35
20,0.0225,0.035,1400,1.75,0,0.002,0.7,0.65,2.5256669004368266,29
20,0.0225,0.035,1400,2.0,0,0.002,0.7,0.65,2.541738415101108,23
20,0.0225,0.035,1400,2.25,0,0.002,0.7,0.65,2.550600755529062,21
20,0.0225,0.035,1400,2.5,0,0.002,0.7,0.65,2.5633975062402254,20
20,0.0225,0.035,1400,2.75,0,0.002,0.7,0.65,2.574162766032228,19
20,0.0225,0.035,1400,3.0,0,0.002,0.7,0.65,2.585849851173303,17
20,0.025,0.035,1400,0.25,0,0.002,0.7,0.65,2.2071194639654546,334
20,0.025,0.035,1400,0.5,0,0.002,0.7,0.65,2.385445608781642,145
20,0.025,0.035,1400,0.75,0,0.002,0.7,0.65,2.455654377553277,87
20,0.025,0.035,1400,1.0,0,0.002,0.7,0.65,2.4919179197098194,61
