yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,inundation hours
20,0.002,0.035,1400,1,0,0.003,0.7,2.65,2.65,0
20,0.002,0.035,1400,1,0,0.003,0.7,2.0,2.203112317664247,13
