,0
1726286.0,1.0006381270104208
1726287.0,1.0007151877656262
1726288.0,1.0007922190906382
1726289.0,1.0008692209888128
1726290.0,1.0009461934651147
1726291.0,1.0010231365258893
1726292.0,1.0011000501745404
1726293.0,1.0011769344158854
1726294.0,1.0012537892557742
1726295.0,1.001330614699805
1726296.0,1.0014074107503759
1726297.0,1.001484177415947
1726298.0,1.0015609146980575
1726299.0,1.0016376226020938
1726300.0,1.001714301132865
1726301.0,1.0017909502991513
1726302.0,1.0018675701028723
1726303.0,1.0019441605494885
1726304.0,1.0020207216442376
1726305.0,1.0020972533896098
1726306.0,1.002173755794774
1726307.0,1.0022502288589596
1726308.0,1.0023266725948254
1726309.0,1.0024030869986211
1726310.0,1.002479472083589
1726311.0,1.0025558278469922
1726312.0,1.0026321543015344
1726313.0,1.0027084514441613
1726314.0,1.0027847192862
1726315.0,1.0028609578274479
1726316.0,1.0029371670803449
1726317.0,1.0030133470404259
1726318.0,1.0030894977209601
1726319.0,1.003165619123496
1726320.0,1.0032417112506435
1726321.0,1.003317774109009
1726322.0,1.003393807705689
1726323.0,1.0034698120423302
1726324.0,1.0035457871255558
1726325.0,1.0036217329613446
1726326.0,1.0036976495526346
1726327.0,1.0037735369041538
1726328.0,1.003849395023014
1726329.0,1.0039252239131344
1726330.0,1.0040010235776378
1726331.0,1.004076794024062
1726332.0,1.0041525352568392
1726333.0,1.004228247281048
1726334.0,1.004303930102111
1726335.0,1.0043795837201972
1726336.0,1.0044552081466107
1726337.0,1.0045308033831253
1726338.0,1.0046063694357654
1726339.0,1.0046819063090973
1726340.0,1.0047574140069273
1726341.0,1.0048328925360188
1726342.0,1.0049083419004587
1726343.0,1.0049837621047768
1726344.0,1.0050591531534092
1726345.0,1.0051345150516169
1726346.0,1.005209847808059
1726347.0,1.005285151422556
1726348.0,1.0053604259036748
1726349.0,1.00543567125382
1726350.0,1.0055108874782948
1726351.0,1.0055860745825977
1726352.0,1.0056612325716094
1726353.0,1.0057363614508832
1726354.0,1.0058114612247495
1726355.0,1.005886531896927
1726356.0,1.0059615734728595
1726357.0,1.0060365859627678
1726358.0,1.0061115693617562
1726359.0,1.0061865236859506
1726360.0,1.0062614489276782
1726361.0,1.0063363451021927
1726362.0,1.0064112122103817
1726363.0,1.0064860502580097
1726364.0,1.0065608592502775
1726365.0,1.0066356391907822
1726366.0,1.006710390084033
